"체결시간","체결가","체결량"
"08:30:00 295","7610","+20"
"08:30:01 183","7610","+650"
"08:30:01 691","7610","+50"
"08:30:02 381","7610","+66"
"08:30:05 081","7610","+9"
"08:30:05 977","7610","+337"
"08:30:06 276","7610","+50"
"08:30:06 690","7610","+15"
"08:30:06 786","7610","+10"
"08:30:08 587","7610","+2"
"08:32:06 287","7610","+10"
"08:33:04 083","7610","+50"
"08:33:09 177","7610","+50"
"08:33:21 381","7610","+100"
"08:33:33 493","7610","+50"
"08:33:43 285","7610","+10"
"08:34:08 474","7610","+55"
"08:34:12 485","7610","+97"
"08:36:12 178","7610","+10"
"08:38:16 411","7610","+1000"
"08:38:46 907","7610","+5"
"08:39:02 503","7610","+100"
"09:00:19 818","7460","105598"
"09:00:20 321","7460","+500"
"09:00:20 332","7460","+10"
"09:00:20 334","7460","+1"
"09:00:20 394","7460","+10"
"09:00:20 431","7460","+26"
"09:00:20 493","7460","+394"
"09:00:22 029","7460","+50"
"09:00:22 097","7460","+1"
"09:00:22 099","7450","-300"
"09:00:22 405","7460","+25"
"09:00:22 427","7460","+40"
"09:00:22 512","7460","+300"
"09:00:22 514","7450","-200"
"09:00:22 715","7460","+1"
"09:00:23 010","7450","-1306"
"09:00:23 197","7450","-130"
"09:00:23 199","7450","-150"
"09:00:23 410","7450","-30"
"09:00:23 418","7450","-485"
"09:00:23 830","7450","-1200"
"09:00:23 909","7450","-4484"
"09:00:24 610","7440","-1360"
"09:00:24 614","7440","-100"
"09:00:24 797","7440","-30"
"09:00:25 025","7450","+69"
"09:00:25 114","7440","-670"
"09:00:25 217","7450","+66"
"09:00:25 219","7450","+5"
"09:00:25 295","7450","+1"
"09:00:25 904","7450","+2"
"09:00:25 926","7450","+39"
"09:00:26 510","7450","+50"
"09:00:26 516","7450","+3"
"09:00:27 612","7450","+10"
"09:00:27 703","7440","-300"
"09:00:27 718","7450","+10"
"09:00:27 812","7440","-4"
"09:00:28 608","7440","-1935"
"09:00:28 723","7440","+66"
"09:00:29 517","7440","+402"
"09:00:29 919","7430","-25"
"09:00:29 996","7430","-6"
"09:00:31 230","7440","+300"
"09:00:32 133","7430","-30"
"09:00:32 212","7430","-300"
"09:00:32 288","7440","+1"
"09:00:32 402","7430","-1434"
"09:00:32 734","7430","-300"
"09:00:32 908","7430","-102"
"09:00:32 908","7420","-448"
"09:00:32 911","7420","-20"
"09:00:33 031","7430","-1"
"09:00:33 112","7430","+30"
"09:00:33 608","7430","+5"
"09:00:34 506","7430","+30"
"09:00:35 208","7430","+1"
"09:00:35 321","7430","+66"
"09:00:35 726","7430","+210"
"09:00:35 814","7430","+500"
"09:00:35 816","7430","+300"
"09:00:36 193","7430","+60"
"09:00:36 396","7420","-1001"
"09:00:36 422","7420","-100"
"09:00:36 611","7420","-11"
"09:00:36 707","7420","-31"
"09:00:36 903","7430","+134"
"09:00:37 111","7430","+50"
"09:00:37 503","7420","-83"
"09:00:37 513","7420","-30"
"09:00:37 627","7430","+10"
"09:00:37 810","7430","+131"
"09:00:37 818","7420","-200"
"09:00:38 003","7430","+339"
"09:00:38 003","7440","+994"
"09:00:38 993","7430","+24"
"09:00:39 017","7440","+3038"
"09:00:39 017","7450","+1962"
"09:00:39 820","7430","-117"
"09:00:39 820","7420","-803"
"09:00:40 414","7440","+700"
"09:00:40 414","7450","+300"
"09:00:40 519","7430","-135"
"09:00:40 791","7430","-607"
"09:00:41 207","7430","-5"
"09:00:41 514","7440","+60"
"09:00:41 519","7440","+40"
"09:00:41 826","7440","-363"
"09:00:42 721","7450","+500"
"09:00:42 901","7440","-10"
"09:00:43 406","7450","+20"
"09:00:43 821","7440","-669"
"09:00:43 821","7430","-249"
"09:00:44 591","7440","-150"
"09:00:46 495","7440","-1500"
"09:00:46 614","7440","-179"
"09:00:46 925","7440","-169"
"09:00:47 520","7440","-614"
"09:00:47 601","7440","-50"
"09:00:47 808","7440","-3198"
"09:00:47 824","7450","+167"
"09:00:48 103","7440","-167"
"09:00:48 103","7430","-833"
"09:00:48 208","7450","+399"
"09:00:48 632","7440","+92"
"09:00:48 808","7450","+1552"
"09:00:49 035","7440","-58"
"09:00:49 211","7440","+580"
"09:00:49 417","7440","+12"
"09:00:49 417","7450","+48"
"09:00:49 422","7450","+1"
"09:00:49 817","7450","+100"
"09:00:49 926","7450","+500"
"09:00:50 711","7440","-601"
"09:00:51 315","7440","+1000"
"09:00:51 315","7440","+48"
"09:00:51 407","7440","+39"
"09:00:51 614","7440","-5"
"09:00:52 728","7440","-110"
"09:00:53 415","7440","-39"
"09:00:54 106","7440","-2624"
"09:00:54 794","7440","+550"
"09:00:54 794","7450","+359"
"09:00:54 794","7460","+91"
"09:00:55 306","7440","+20"
"09:00:56 016","7440","+100"
"09:00:56 617","7440","+100"
"09:00:56 627","7440","+5"
"09:00:56 630","7440","+34"
"09:00:57 906","7440","+500"
"09:00:58 718","7440","+26"
"09:00:59 414","7440","+26"
"09:00:59 594","7440","+100"
"09:00:59 899","7440","+17"
"09:01:00 706","7440","+134"
"09:01:00 909","7440","+570"
"09:01:01 102","7440","-88"
"09:01:01 112","7440","-200"
"09:01:01 396","7460","+478"
"09:01:01 404","7440","-400"
"09:01:01 628","7460","+1"
"09:01:01 800","7460","+1623"
"09:01:02 309","7460","+16"
"09:01:02 311","7460","+11"
"09:01:02 312","7460","+4"
"09:01:02 420","7460","+22"
"09:01:02 507","7440","-100"
"09:01:02 601","7460","+6"
"09:01:02 602","7440","-188"
"09:01:02 621","7460","+22"
"09:01:02 832","7460","+7"
"09:01:02 838","7460","+5"
"09:01:02 915","7460","+22"
"09:01:03 020","7460","+11"
"09:01:03 123","7460","+11"
"09:01:03 315","7450","+11"
"09:01:03 397","7450","+11"
"09:01:03 406","7440","-50"
"09:01:04 238","7450","+678"
"09:01:04 597","7460","+1"
"09:01:05 427","7450","+367"
"09:01:06 113","7450","+40"
"09:01:06 402","7450","+36"
"09:01:07 391","7450","+10"
"09:01:07 636","7450","+156"
"09:01:08 204","7460","+460"
"09:01:08 634","7450","-16"
"09:01:08 703","7450","-70"
"09:01:08 707","7450","-22"
"09:01:08 805","7450","-400"
"09:01:09 017","7450","-1000"
"09:01:10 511","7450","-379"
"09:01:11 113","7460","+10"
"09:01:11 429","7450","-109"
"09:01:11 839","7450","-1561"
"09:01:11 839","7440","-8335"
"09:01:12 118","7440","+100"
"09:01:12 309","7440","+23"
"09:01:12 800","7430","-47"
"09:01:12 904","7440","+700"
"09:01:13 696","7440","+100"
"09:01:15 420","7440","+65"
"09:01:15 609","7430","-1000"
"09:01:15 723","7440","+100"
"09:01:15 804","7430","-120"
"09:01:15 823","7440","+1105"
"09:01:16 244","7440","-80"
"09:01:16 646","7440","-1000"
"09:01:17 021","7450","+1"
"09:01:17 904","7450","+331"
"09:01:18 115","7440","-2752"
"09:01:18 115","7450","+403"
"09:01:18 423","7450","-97"
"09:01:19 702","7450","+510"
"09:01:19 702","7460","+490"
"09:01:20 197","7450","-3"
"09:01:20 308","7450","-400"
"09:01:20 308","7440","-2600"
"09:01:20 494","7440","-200"
"09:01:20 826","7440","-3417"
"09:01:20 826","7430","-1583"
"09:01:21 301","7460","+582"
"09:01:21 301","7470","+418"
"09:01:22 008","7470","+304"
"09:01:22 499","7440","-173"
"09:01:23 435","7450","-297"
"09:01:24 027","7440","-276"
"09:01:24 498","7440","+124"
"09:01:25 904","7440","-1397"
"09:01:25 911","7440","-5709"
"09:01:27 303","7440","+1026"
"09:01:28 013","7440","+331"
"09:01:28 033","7440","+50"
"09:01:29 097","7440","+573"
"09:01:29 702","7450","+100"
"09:01:31 034","7450","+244"
"09:01:31 917","7440","-2765"
"09:01:31 917","7450","+500"
"09:01:32 196","7440","-230"
"09:01:32 611","7440","+10"
"09:01:32 892","7440","+10"
"09:01:33 005","7440","+200"
"09:01:33 434","7430","-705"
"09:01:33 700","7440","+11"
"09:01:34 032","7440","+11"
"09:01:34 099","7440","+22"
"09:01:34 117","7440","+11"
"09:01:34 234","7440","+8"
"09:01:34 234","7450","+8"
"09:01:34 234","7450","+22"
"09:01:34 306","7450","+5"
"09:01:34 506","7450","+22"
"09:01:34 629","7450","+6"
"09:01:34 706","7450","+11"
"09:01:34 709","7450","+7"
"09:01:36 103","7450","+286"
"09:01:36 497","7440","-13"
"09:01:37 113","7440","-487"
"09:01:37 190","7440","+100"
"09:01:37 201","7440","+201"
"09:01:37 307","7440","+248"
"09:01:38 699","7430","-3102"
"09:01:38 706","7430","-2323"
"09:01:38 918","7420","-2500"
"09:01:39 633","7440","+30"
"09:01:41 107","7420","-62"
"09:01:41 637","7420","-2070"
"09:01:41 898","7420","-50"
"09:01:42 305","7420","-1000"
"09:01:42 309","7420","-1938"
"09:01:44 112","7420","+10"
"09:01:44 436","7420","+414"
"09:01:44 904","7430","+100"
"09:01:45 814","7420","-86"
"09:01:45 814","7410","-14"
"09:01:45 837","7410","-13"
"09:01:46 307","7410","-100"
"09:01:46 457","7410","-15"
"09:01:47 708","7420","-40"
"09:01:47 709","7410","-60"
"09:01:48 298","7410","-100"
"09:01:48 395","7430","+22"
"09:01:48 434","7430","+5"
"09:01:48 498","7410","-98"
"09:01:48 509","7430","+16"
"09:01:48 511","7430","+6"
"09:01:48 512","7430","+22"
"09:01:48 718","7430","+11"
"09:01:48 899","7430","+11"
"09:01:49 007","7430","+7"
"09:01:49 192","7430","+11"
"09:01:49 305","7430","+11"
"09:01:49 313","7410","-400"
"09:01:49 317","7410","-5715"
"09:01:49 990","7410","-200"
"09:01:50 001","7410","-11979"
"09:01:50 002","7400","-14578"
"09:01:50 030","7390","-39"
"09:01:50 034","7390","-497"
"09:01:50 104","7400","+1500"
"09:01:50 116","7390","-20"
"09:01:50 205","7400","+10"
"09:01:50 233","7390","-103"
"09:01:51 116","7390","-146"
"09:01:51 117","7400","+10"
"09:01:51 226","7400","+70"
"09:01:51 400","7400","+100"
"09:01:51 439","7400","+450"
"09:01:51 497","7400","+100"
"09:01:51 705","7390","-25"
"09:01:51 910","7390","-19"
"09:01:52 915","7390","-68"
"09:01:52 917","7390","-145"
"09:01:53 008","7390","-173"
"09:01:53 637","7390","-500"
"09:01:53 699","7400","+209"
"09:01:53 803","7390","-90"
"09:01:53 813","7390","-6867"
"09:01:53 909","7400","+100"
"09:01:54 499","7400","+100"
"09:01:54 699","7390","-136"
"09:01:55 514","7390","-1"
"09:01:56 006","7390","-337"
"09:01:56 409","7400","+300"
"09:01:56 604","7390","-1136"
"09:01:56 799","7380","-519"
"09:01:56 895","7390","+463"
"09:01:56 898","7390","-500"
"09:01:56 903","7390","-993"
"09:01:56 903","7380","-3037"
"09:01:57 043","7390","+145"
"09:01:57 708","7390","-404"
"09:01:58 612","7390","-800"
"09:01:58 702","7390","-695"
"09:01:58 702","7380","-665"
"09:01:58 913","7390","+200"
"09:01:59 201","7390","+10"
"09:02:00 034","7390","+1"
"09:02:00 207","7380","-468"
"09:02:00 393","7380","-117"
"09:02:01 503","7380","-238"
"09:02:02 097","7390","+308"
"09:02:02 104","7380","-80"
"09:02:02 504","7380","-91"
"09:02:02 509","7390","+100"
"09:02:02 514","7380","-1"
"09:02:02 834","7380","-5000"
"09:02:02 919","7380","-23"
"09:02:03 123","7380","-3714"
"09:02:03 497","7390","+242"
"09:02:03 618","7380","-1965"
"09:02:03 692","7380","-10000"
"09:02:03 712","7380","-200"
"09:02:03 998","7380","-10"
"09:02:04 515","7390","+2000"
"09:02:04 599","7380","-1500"
"09:02:04 908","7380","-445"
"09:02:05 204","7380","-1837"
"09:02:05 204","7370","-913"
"09:02:05 609","7380","+100"
"09:02:06 796","7370","-4"
"09:02:07 418","7370","-558"
"09:02:07 910","7370","-50"
"09:02:08 035","7370","-100"
"09:02:08 406","7380","+10"
"09:02:08 718","7380","+100"
"09:02:08 803","7380","+1"
"09:02:09 102","7380","+100"
"09:02:09 413","7370","-239"
"09:02:09 511","7370","-100"
"09:02:10 312","7380","+33"
"09:02:10 490","7380","+10"
"09:02:10 505","7370","-661"
"09:02:11 098","7380","+1"
"09:02:11 098","7380","+100"
"09:02:11 395","7380","+61"
"09:02:11 817","7370","-50"
"09:02:12 911","7380","+10"
"09:02:13 912","7370","-1000"
"09:02:14 926","7380","+769"
"09:02:15 205","7370","-38"
"09:02:15 697","7370","-495"
"09:02:15 931","7380","+435"
"09:02:16 525","7370","-200"
"09:02:16 613","7370","-56"
"09:02:16 613","7370","-25"
"09:02:16 617","7370","-10"
"09:02:16 805","7380","+350"
"09:02:17 405","7370","-100"
"09:02:17 932","7380","+1123"
"09:02:18 594","7370","-1"
"09:02:18 915","7370","-131"
"09:02:19 011","7370","-1012"
"09:02:19 321","7380","+100"
"09:02:19 330","7380","+100"
"09:02:19 608","7370","-5324"
"09:02:19 907","7380","+700"
"09:02:20 004","7380","+1"
"09:02:20 009","7380","+167"
"09:02:20 127","7380","+15"
"09:02:20 317","7370","-4"
"09:02:20 619","7380","+651"
"09:02:21 122","7380","+3"
"09:02:21 604","7380","+100"
"09:02:21 998","7380","+764"
"09:02:22 122","7380","+1"
"09:02:22 715","7370","-35"
"09:02:22 819","7380","+500"
"09:02:23 197","7380","+201"
"09:02:23 208","7380","-100"
"09:02:23 413","7380","-500"
"09:02:23 598","7380","-49"
"09:02:23 605","7380","-100"
"09:02:23 606","7370","-135"
"09:02:24 008","7370","-1"
"09:02:24 217","7370","-21"
"09:02:25 327","7380","+100"
"09:02:26 127","7370","-250"
"09:02:26 516","7380","+5"
"09:02:26 995","7380","+846"
"09:02:27 132","7370","-100"
"09:02:27 137","7380","+188"
"09:02:27 721","7380","-32"
"09:02:28 730","7380","-290"
"09:02:28 730","7370","-210"
"09:02:28 806","7370","-300"
"09:02:29 294","7390","-67"
"09:02:29 525","7390","-336"
"09:02:30 121","7390","+1"
"09:02:30 318","7380","-100"
"09:02:30 595","7380","-364"
"09:02:31 220","7390","-30"
"09:02:31 607","7390","-805"
"09:02:32 007","7400","+160"
"09:02:32 527","7380","-2"
"09:02:32 611","7400","+134"
"09:02:32 614","7390","-403"
"09:02:33 603","7380","-509"
"09:02:34 529","7370","-1468"
"09:02:34 531","7360","-6855"
"09:02:34 532","7350","-2788"
"09:02:34 603","7350","-29"
"09:02:34 700","7390","+1"
"09:02:35 822","7390","+100"
"09:02:35 928","7370","-670"
"09:02:36 726","7380","-650"
"09:02:36 913","7370","-539"
"09:02:36 913","7350","-1415"
"09:02:37 611","7370","-403"
"09:02:38 523","7380","-500"
"09:02:38 959","7390","+5"
"09:02:39 124","7370","-200"
"09:02:40 021","7380","+300"
"09:02:41 002","7370","-1000"
"09:02:42 399","7370","-1000"
"09:02:42 404","7370","-13"
"09:02:43 293","7380","+200"
"09:02:43 808","7380","+100"
"09:02:43 923","7370","-709"
"09:02:43 996","7380","+403"
"09:02:44 118","7370","-345"
"09:02:44 190","7370","-5430"
"09:02:45 911","7390","+50"
"09:02:45 924","7380","-20"
"09:02:45 924","7370","-4"
"09:02:46 094","7370","-341"
"09:02:46 811","7370","-1000"
"09:02:47 812","7380","-100"
"09:02:47 812","7370","-400"
"09:02:48 420","7380","+100"
"09:02:48 807","7370","-200"
"09:02:48 994","7370","-200"
"09:02:49 006","7370","-10"
"09:02:49 139","7370","-500"
"09:02:49 416","7370","-479"
"09:02:49 931","7380","+6"
"09:02:50 195","7380","+50"
"09:02:50 523","7380","+47"
"09:02:50 523","7390","+8"
"09:02:50 797","7370","-7"
"09:02:51 092","7390","+427"
"09:02:51 425","7370","-50"
"09:02:51 914","7380","-295"
"09:02:52 208","7380","-253"
"09:02:52 592","7380","-152"
"09:02:52 592","7370","-479"
"09:02:53 093","7370","-10"
"09:02:53 213","7390","+250"
"09:02:53 791","7390","+2"
"09:02:54 506","7390","+200"
"09:02:54 807","7390","+135"
"09:02:56 118","7380","+1"
"09:02:57 808","7380","+5"
"09:02:57 923","7380","+3"
"09:02:58 999","7390","+5"
"09:02:59 609","7380","-12"
"09:03:00 131","7390","+630"
"09:03:00 414","7380","-74"
"09:03:01 620","7380","-91"
"09:03:03 206","7390","+336"
"09:03:03 206","7400","+664"
"09:03:04 204","7400","+590"
"09:03:04 205","7400","+7125"
"09:03:05 303","7390","-24"
"09:03:05 419","7390","-20"
"09:03:05 599","7400","+2000"
"09:03:05 809","7400","+2"
"09:03:06 211","7400","+191"
"09:03:06 394","7400","+13"
"09:03:06 699","7400","+5"
"09:03:07 204","7400","+261"
"09:03:07 523","7400","+1517"
"09:03:07 616","7420","+5"
"09:03:07 928","7420","+703"
"09:03:07 929","7420","+5497"
"09:03:08 003","7420","+874"
"09:03:08 931","7400","-7"
"09:03:09 002","7420","+500"
"09:03:09 400","7420","+2"
"09:03:09 592","7420","+5"
"09:03:09 903","7420","+525"
"09:03:10 200","7400","-100"
"09:03:10 205","7420","+354"
"09:03:10 391","7420","+676"
"09:03:10 414","7420","+47"
"09:03:10 821","7420","+50"
"09:03:11 223","7420","+5"
"09:03:11 428","7420","+260"
"09:03:11 521","7420","+500"
"09:03:11 813","7420","+100"
"09:03:11 998","7420","+294"
"09:03:12 294","7420","+889"
"09:03:12 811","7430","+343"
"09:03:13 498","7420","-150"
"09:03:13 604","7430","+1"
"09:03:13 815","7430","+22"
"09:03:14 094","7430","+11"
"09:03:14 116","7430","+11"
"09:03:14 209","7430","+22"
"09:03:14 505","7420","-149"
"09:03:14 700","7430","+30"
"09:03:14 792","7430","+4"
"09:03:15 188","7430","+6"
"09:03:15 414","7430","+101"
"09:03:15 506","7440","+5"
"09:03:15 612","7440","+239"
"09:03:15 812","7440","+7"
"09:03:16 401","7440","+5"
"09:03:16 401","7440","+1709"
"09:03:16 539","7440","+10"
"09:03:16 938","7440","+11"
"09:03:17 323","7440","+16"
"09:03:17 424","7440","+11"
"09:03:17 698","7430","-500"
"09:03:17 699","7440","+30"
"09:03:17 810","7440","+10"
"09:03:17 818","7440","+29"
"09:03:17 822","7440","+50"
"09:03:18 334","7440","+100"
"09:03:18 604","7440","+239"
"09:03:18 817","7440","+50"
"09:03:19 097","7440","+64"
"09:03:19 500","7440","+324"
"09:03:19 501","7450","+552"
"09:03:20 215","7440","-510"
"09:03:20 294","7440","+100"
"09:03:20 308","7440","+100"
"09:03:20 613","7440","+677"
"09:03:20 902","7440","+10"
"09:03:21 289","7440","+103"
"09:03:22 104","7440","-200"
"09:03:23 334","7440","-263"
"09:03:23 931","7440","+737"
"09:03:23 931","7450","+8747"
"09:03:24 020","7440","-128"
"09:03:24 192","7440","-129"
"09:03:24 307","7440","+250"
"09:03:24 308","7440","+25"
"09:03:24 595","7450","+5"
"09:03:24 919","7450","+1593"
"09:03:25 199","7450","-50"
"09:03:25 204","7460","+149"
"09:03:26 411","7460","+80"
"09:03:26 992","7460","+65"
"09:03:27 137","7450","-300"
"09:03:27 514","7460","+402"
"09:03:27 601","7450","-1686"
"09:03:28 897","7450","-7"
"09:03:28 899","7450","-999"
"09:03:29 118","7450","-270"
"09:03:29 805","7460","+50"
"09:03:30 135","7450","-10"
"09:03:30 409","7450","-85"
"09:03:30 410","7440","-145"
"09:03:30 413","7460","+438"
"09:03:30 619","7460","+300"
"09:03:30 801","7460","+300"
"09:03:31 812","7460","+131"
"09:03:32 009","7460","+2000"
"09:03:32 791","7450","-250"
"09:03:33 621","7460","+1842"
"09:03:34 119","7450","-418"
"09:03:34 495","7460","+128"
"09:03:36 193","7450","-12"
"09:03:37 543","7460","+100"
"09:03:38 497","7460","+10"
"09:03:38 610","7450","-1"
"09:03:39 690","7450","-1176"
"09:03:40 009","7450","+10"
"09:03:40 012","7450","+10"
"09:03:42 092","7450","+10"
"09:03:42 694","7450","+20"
"09:03:44 087","7450","+1000"
"09:03:44 095","7440","-100"
"09:03:44 292","7450","+326"
"09:03:44 808","7450","+10"
"09:03:45 203","7440","-270"
"09:03:45 803","7440","-1130"
"09:03:45 803","7430","-1370"
"09:03:46 006","7450","+194"
"09:03:46 125","7430","-214"
"09:03:46 295","7450","-194"
"09:03:46 591","7450","+300"
"09:03:47 532","7430","-1500"
"09:03:50 108","7430","-371"
"09:03:50 215","7420","-55"
"09:03:50 297","7430","+1"
"09:03:51 290","7430","+409"
"09:03:53 611","7430","+10"
"09:03:54 502","7430","+1"
"09:03:56 292","7430","+349"
"09:03:56 620","7430","+15"
"09:03:56 620","7440","+85"
"09:03:56 623","7440","+155"
"09:03:58 396","7440","+67"
"09:03:58 808","7440","+351"
"09:03:58 808","7450","+322"
"09:03:58 821","7450","+1542"
"09:04:00 437","7450","+34"
"09:04:01 410","7430","-90"
"09:04:01 410","7420","-2575"
"09:04:01 410","7410","-1606"
"09:04:04 022","7430","-250"
"09:04:04 839","7450","+2"
"09:04:06 516","7430","-112"
"09:04:07 416","7430","-353"
"09:04:08 110","7430","-100"
"09:04:08 306","7440","+70"
"09:04:09 791","7430","-340"
"09:04:10 225","7440","-10"
"09:04:11 432","7440","+1"
"09:04:13 417","7430","-200"
"09:04:13 705","7440","+300"
"09:04:14 016","7430","-650"
"09:04:14 221","7440","+67"
"09:04:14 411","7430","-203"
"09:04:14 689","7440","+398"
"09:04:15 095","7440","-152"
"09:04:15 511","7450","+3"
"09:04:17 104","7440","-10"
"09:04:17 488","7440","+8"
"09:04:18 513","7440","+33"
"09:04:18 607","7430","-700"
"09:04:19 233","7440","+149"
"09:04:20 087","7440","-908"
"09:04:20 198","7440","-50"
"09:04:21 094","7440","-147"
"09:04:21 095","7430","-723"
"09:04:22 114","7440","+368"
"09:04:22 910","7440","-100"
"09:04:24 001","7440","-233"
"09:04:24 493","7440","-20"
"09:04:24 494","7430","-296"
"09:04:24 617","7430","-5"
"09:04:27 505","7440","-1"
"09:04:27 505","7430","-11"
"09:04:29 893","7440","+1"
"09:04:33 097","7440","+15"
"09:04:34 490","7440","+50"
"09:04:36 509","7440","+5"
"09:04:37 430","7440","+392"
"09:04:37 893","7440","+200"
"09:04:38 241","7440","+56"
"09:04:38 293","7430","-95"
"09:04:38 555","7440","+674"
"09:04:39 098","7440","+10"
"09:04:39 431","7440","+2"
"09:04:40 219","7440","+287"
"09:04:41 087","7440","-100"
"09:04:42 616","7450","+2"
"09:04:43 697","7450","+2000"
"09:04:45 991","7440","-10"
"09:04:46 312","7440","-37"
"09:04:46 410","7440","-1496"
"09:04:46 829","7440","+1"
"09:04:46 917","7440","+70"
"09:04:47 592","7440","-30"
"09:04:47 592","7430","-79"
"09:04:48 292","7450","+8"
"09:04:48 420","7450","+2"
"09:04:48 891","7430","-200"
"09:04:50 229","7430","-84"
"09:04:51 388","7440","+2"
"09:04:51 693","7430","-3"
"09:04:54 711","7440","+10"
"09:04:57 439","7440","+164"
"09:04:57 439","7450","+336"
"09:04:58 422","7450","+36"
"09:04:59 511","7450","+385"
"09:04:59 890","7450","+5184"
"09:05:00 488","7450","-100"
"09:05:00 599","7460","+582"
"09:05:00 720","7460","-216"
"09:05:01 705","7460","-100"
"09:05:02 799","7460","+2"
"09:05:03 297","7450","-40"
"09:05:04 720","7450","-30"
"09:05:09 206","7450","-300"
"09:05:09 603","7450","-748"
"09:05:11 691","7460","+362"
"09:05:11 991","7460","-238"
"09:05:13 407","7470","+2"
"09:05:13 504","7460","-500"
"09:05:13 903","7460","-50"
"09:05:15 595","7460","-40"
"09:05:18 804","7460","-1"
"09:05:18 898","7460","-5"
"09:05:18 917","7470","+2"
"09:05:19 100","7460","-100"
"09:05:20 793","7470","+1"
"09:05:21 199","7460","-67"
"09:05:21 491","7470","+2"
"09:05:21 491","7470","+1516"
"09:05:21 914","7470","+1143"
"09:05:24 691","7470","-52"
"09:05:25 096","7480","+100"
"09:05:25 691","7480","+3799"
"09:05:25 691","7480","-19"
"09:05:25 706","7490","+2"
"09:05:26 517","7480","-963"
"09:05:27 033","7480","-67"
"09:05:28 987","7480","-100"
"09:05:29 594","7480","-10"
"09:05:29 601","7480","-1"
"09:05:29 601","7470","-36"
"09:05:29 909","7480","-100"
"09:05:31 802","7480","+753"
"09:05:32 694","7480","+355"
"09:05:33 234","7480","-5"
"09:05:34 201","7480","-100"
"09:05:34 299","7490","+300"
"09:05:34 500","7480","-1217"
"09:05:34 500","7470","-4042"
"09:05:35 593","7480","-13"
"09:05:37 200","7480","+5"
"09:05:38 223","7480","+200"
"09:05:38 597","7470","-400"
"09:05:38 724","7470","-950"
"09:05:39 012","7480","+100"
"09:05:39 813","7470","-200"
"09:05:40 098","7470","+37"
"09:05:40 940","7460","-413"
"09:05:41 314","7470","+50"
"09:05:41 730","7470","+50"
"09:05:44 204","7470","+1"
"09:05:44 322","7460","-18"
"09:05:44 530","7470","+164"
"09:05:45 207","7470","-1"
"09:05:45 621","7470","-120"
"09:05:46 504","7470","-250"
"09:05:47 000","7470","-100"
"09:05:48 698","7480","+300"
"09:05:48 714","7470","-200"
"09:05:48 734","7470","-193"
"09:05:48 792","7470","+10"
"09:05:49 094","7470","+23"
"09:05:51 205","7470","+1"
"09:05:51 709","7470","+149"
"09:05:52 122","7470","+100"
"09:05:52 288","7460","-5"
"09:05:53 517","7470","+1"
"09:05:53 888","7470","+59"
"09:05:57 197","7470","+669"
"09:05:57 927","7470","+6"
"09:05:59 327","7480","+500"
"09:06:01 010","7480","+1"
"09:06:01 918","7480","+1"
"09:06:04 002","7470","-874"
"09:06:05 314","7480","+1"
"09:06:05 409","7480","+166"
"09:06:05 929","7480","+10"
"09:06:07 094","7470","-150"
"09:06:07 599","7480","+1"
"09:06:08 517","7480","+1"
"09:06:10 921","7470","-32"
"09:06:11 118","7470","-300"
"09:06:11 525","7480","+300"
"09:06:14 801","7480","+66"
"09:06:15 321","7470","-1000"
"09:06:15 400","7470","-200"
"09:06:15 600","7480","+50"
"09:06:15 886","7480","+200"
"09:06:17 194","7480","+2"
"09:06:17 526","7480","+1000"
"09:06:18 522","7480","+493"
"09:06:19 211","7480","-500"
"09:06:19 315","7480","-250"
"09:06:20 219","7480","-1281"
"09:06:21 009","7490","+1"
"09:06:21 090","7480","-250"
"09:06:21 090","7470","-150"
"09:06:22 724","7490","+10"
"09:06:22 792","7490","+1"
"09:06:23 119","7490","+4"
"09:06:24 406","7480","-5"
"09:06:24 921","7480","-22"
"09:06:25 733","7480","-7"
"09:06:25 983","7480","-800"
"09:06:27 097","7480","-20"
"09:06:27 727","7490","+1"
"09:06:27 895","7490","+300"
"09:06:28 686","7480","-500"
"09:06:30 892","7480","-1351"
"09:06:31 328","7490","+1"
"09:06:33 409","7480","-100"
"09:06:33 497","7490","+1"
"09:06:33 793","7480","-47"
"09:06:34 607","7480","-85"
"09:06:35 387","7490","+66"
"09:06:39 689","7490","+67"
"09:06:39 809","7490","+1"
"09:06:41 303","7490","+10"
"09:06:41 505","7490","+267"
"09:06:41 597","7490","+1000"
"09:06:41 896","7490","+1"
"09:06:42 806","7490","+650"
"09:06:43 097","7490","-194"
"09:06:44 700","7490","-10"
"09:06:45 300","7490","+1"
"09:06:45 986","7490","+19"
"09:06:45 986","7500","+81"
"09:06:47 386","7490","+10"
"09:06:48 499","7490","+1"
"09:06:49 695","7480","-12"
"09:06:50 525","7490","+364"
"09:06:52 294","7490","+420"
"09:06:52 294","7500","+80"
"09:06:53 286","7490","+40"
"09:06:53 294","7490","+30"
"09:06:54 105","7490","+3"
"09:06:55 293","7490","+1000"
"09:06:56 094","7490","+78"
"09:06:56 305","7490","-422"
"09:06:56 734","7490","+190"
"09:06:57 088","7480","-87"
"09:06:57 292","7490","+1"
"09:06:59 903","7490","+773"
"09:07:01 699","7500","+10"
"09:07:02 090","7500","+1000"
"09:07:04 200","7500","+50"
"09:07:04 501","7490","-108"
"09:07:05 192","7500","+10"
"09:07:07 198","7500","+100"
"09:07:08 099","7500","+4304"
"09:07:08 099","7510","+2880"
"09:07:08 207","7490","-80"
